Source;Age;Weight
Prior info 1;0;3.5
Prior info 1;28;8.3
Prior info 1;56;12.7
Prior info 1;84;16.4
Prior info 1;112;19.5
Prior info 1;140;21.4
Prior info 1;168;22.2
Prior info 1;196;23.2
Prior info 2;0;3.42
Prior info 2;60;11.98
Prior info 2;120;16.21
Prior info 2;180;21.01
Prior info 2;240;24.04
Prior info 2;300;24.65
Prior info 2;365;31.09
Prior info 2;0;3.72
Prior info 2;60;11.61
Prior info 2;90;15.89
Prior info 2;120;18.73
Prior info 2;180;28.53
Prior info 2;365;37.05
Prior info 3;0;3.38
Prior info 3;28;6.3
Prior info 3;56;9.4
Prior info 3;112;13.5
Prior info 3;350;25.79
Prior info 4;0;3
Prior info 4;60;11.73
Prior info 4;120;17.06
Prior info 4;180;23.35
Prior info 4;240;24.85
Prior info 4;300;26.97
Prior info 4;360;27.78
Prior info 5;0;3.37
Prior info 5;56;11.6
Prior info 5;112;17.62
Prior info 5;168;21.51
Prior info 5;224;24.01
Prior info 5;280;25.72
Prior info 5;336;26.98
